tool_slug,tool_name,title,output_path,status,affiliate_status
cursor,Cursor,"Cursor Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\cursor\index.html,built,pending
github-copilot,GitHub Copilot,"GitHub Copilot Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\github-copilot\index.html,built,pending
semrush,Semrush,"Semrush Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\semrush\index.html,built,pending
make,Make,"Make Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\make\index.html,built,pending
zapier,Zapier,"Zapier Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\zapier\index.html,built,pending
canva,Canva,"Canva Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\canva\index.html,built,pending
activecampaign,ActiveCampaign,"ActiveCampaign Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\activecampaign\index.html,built,pending
mailchimp,Mailchimp,"Mailchimp Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\mailchimp\index.html,built,official_only
pictory,Pictory,"Pictory Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\pictory\index.html,built,official_only
grammarly,Grammarly,"Grammarly Pricing Guide: Plans, Trial Notes, and Buying Risks",D:\AFFILATE BOT\site_output\pricing\grammarly\index.html,built,official_only
