topic,slug,reason,action,priority,article_type,target_keyword,suggested_title,money_score,trend_score,affiliate_score,competition_score,content_gap_score,internal_link_score,impression_score,ctr_score,youtube_score,social_score,final_score,estimated_monthly_traffic,affiliate_conversion_rate,estimated_revenue_score,estimated_value,youtube_action,risk_note
free-for-dev Review 2026,free-for-dev-review-2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,REFRESH,P4,review,free-for-dev review 2026,Free-For-Dev Review 2026,73.6,67.0,63.0,63.0,0.0,45.0,71.2,50,82.0,60.1,59.1,1314,0.072,100,1490.08,CREATE VIDEO,Duplicate risk: REFRESH_EXISTING (100.0)
ai-berkshire Review 2026,ai-berkshire-review-2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,REFRESH,P4,review,ai-berkshire review 2026,Ai-Berkshire Review 2026,72.9,66.0,63.0,63.0,0.0,45.0,69.5,50,81.0,62.5,58.8,1242,0.07,100,1369.31,CREATE VIDEO,Duplicate risk: REFRESH_EXISTING (100.0)
agency-agents Review 2026,agency-agents-review-2026,REFRESH: AI Automation; duplicate=REFRESH_EXISTING,REFRESH,P4,review,agency-agents review 2026,Agency-Agents Review 2026,72.9,66.0,63.0,63.0,0.0,45.0,69.5,50,81.0,59.9,58.6,1242,0.07,100,1369.31,CREATE VIDEO,Duplicate risk: REFRESH_EXISTING (100.0)
logto Review 2026,logto-review-2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,REFRESH,P4,review,logto review 2026,Logto Review 2026,73.0,60.0,63.0,63.0,0.0,45.0,65.9,50,77.0,57.4,57.1,1188,0.072,100,1347.19,CREATE VIDEO,Duplicate risk: REFRESH_EXISTING (100.0)
VulnClaw Review 2026,vulnclaw-review-2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,REFRESH,P4,review,vulnclaw review 2026,Vulnclaw Review 2026,72.9,60.0,63.0,63.0,0.0,45.0,65.5,50,77.0,57.4,57.1,1170,0.072,100,1326.78,CREATE VIDEO,Duplicate risk: REFRESH_EXISTING (100.0)
council-of-high-intelligence Review 2026,council-of-high-intelligence-review-2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,REFRESH,P4,review,council-of-high-intelligence review 2026,Council-Of-High-Intelligence Review 2026,69.4,62.0,58.0,63.0,0.0,45.0,67.4,50,78.0,57.5,56.3,1224,0.065,100,1153.62,CREATE VIDEO,Duplicate risk: REFRESH_EXISTING (100.0)
cupy Review 2026,cupy-review-2026,REFRESH: Reviews; duplicate=REFRESH_EXISTING,REFRESH,P4,review,cupy review 2026,Cupy Review 2026,68.8,62.0,58.0,63.0,0.0,45.0,66.0,50,78.0,57.5,56.0,1152,0.064,100,1069.06,CREATE VIDEO,Duplicate risk: REFRESH_EXISTING (100.0)
best ai search software,best-ai-search-software,REFRESH: AI Search; duplicate=REFRESH_EXISTING,REFRESH,P4,best list,best ai search software,Best Ai Search Software 2026,65.2,56.0,66.0,41.0,44.0,45.0,57.1,50,64.0,54.4,55.7,1044,0.066,100,1136.92,OPTIONAL,Duplicate risk: REFRESH_EXISTING (100.0)
"Tavant debuts agentic AI platform for software engineering, automation",tavant-debuts-agentic-ai-platform-for-software-engineering-automation,REFRESH: AI Automation; duplicate=REFRESH_EXISTING,REFRESH,P4,evergreen,"tavant debuts agentic ai platform for software engineering, automation","Tavant Debuts Agentic Ai Platform For Software Engineering, Automation 2026",68.7,46.0,64.0,53.0,0.0,90.0,53.9,50,68.0,56.6,55.6,864,0.075,100,1036.8,OPTIONAL,Duplicate risk: REFRESH_EXISTING (100.0)
affordable ai search platform,affordable-ai-search-platform,REFRESH: AI Search; duplicate=REFRESH_EXISTING,REFRESH,P4,evergreen,affordable ai search platform,Affordable Ai Search Platform 2026,56.8,55.0,54.0,53.0,44.0,45.0,61.0,50,74.0,57.0,55.0,1044,0.061,100,859.73,CREATE VIDEO,Duplicate risk: REFRESH_EXISTING (100.0)
AI Coding Alternatives 2026,ai-coding-alternatives-2026,AI Coding cluster is missing a alternatives asset.,CONTENT GAP,P4,alternatives,ai coding alternatives 2026,AI Coding Alternatives 2026,,,,,,,,,,,,,,,,OPTIONAL,Create only after duplicate check.
AI Coding Tutorial 2026,ai-coding-tutorial-2026,AI Coding cluster is missing a tutorial asset.,CONTENT GAP,P4,tutorial,ai coding tutorial 2026,AI Coding Tutorial 2026,,,,,,,,,,,,,,,,OPTIONAL,Create only after duplicate check.
AI Coding Faq 2026,ai-coding-faq-2026,AI Coding cluster is missing a faq asset.,CONTENT GAP,P4,faq,ai coding faq 2026,AI Coding Faq 2026,,,,,,,,,,,,,,,,OPTIONAL,Create only after duplicate check.
AI Coding Video Review 2026,ai-coding-video-2026,AI Coding cluster is missing a video asset.,CONTENT GAP,P4,video,ai coding video review 2026,AI Coding Video Review 2026,,,,,,,,,,,,,,,,OPTIONAL,Create only after duplicate check.
SaaS Reviews Review 2026,saas-reviews-review-2026,SaaS Reviews cluster is missing a review asset.,CONTENT GAP,P4,review,saas reviews review 2026,SaaS Reviews Review 2026,,,,,,,,,,,,,,,,OPTIONAL,Create only after duplicate check.
